pair,score12,score14,score16,score18
aa,75,74,76,85
ab,83,80,81,88
ac,68,68,66,75
ad,70,71,70,77
ae,72,71,70,77
af,45,42,43,47
ag,72,70,71,80
ah,40,42,40,45
ai,42,40,40,45
aj,46,49,46,53
ak,40,42,40,45
al,40,42,40,45
am,42,40,40,44
an,43,41,41,45
ao,70,71,70,77
ap,46,49,46,53
aq,70,71,70,77
ar,43,41,41,46
as,72,73,74,78
at,48,51,50,56
au,50,49,50,55
av,39,35,45,44
aw,33,33,41,39
ax,81,80,78,82
ay,73,73,76,83
az,74,70,76,80
aá,75,74,76,85
aé,72,71,70,77
aí,43,41,41,46
aó,70,71,70,77
aö,70,71,70,77
aú,50,49,50,55
aü,50,49,50,55
aő,70,71,70,77
aű,50,49,50,55
ba,69,64,64,70
bb,83,75,77,83
bc,60,60,61,63
bd,75,74,75,78
be,61,60,61,64
bf,89,84,85,89
bg,66,64,65,68
bh,84,85,81,87
bi,85,83,84,88
bj,76,79,75,81
bk,84,85,81,87
bl,84,85,81,87
bm,80,76,76,81
bn,80,76,76,81
bo,61,60,61,63
bp,73,74,72,77
bq,61,60,61,63
br,80,76,76,81
bs,73,72,74,76
bt,78,81,77,83
bu,71,69,69,73
bv,60,64,65,62
bw,60,63,64,62
bx,70,66,69,72
by,63,73,69,67
bz,79,75,79,82
bá,79,78,76,82
bé,69,68,67,70
bí,85,84,85,89
bó,68,66,66,69
bö,66,61,63,67
bú,79,77,78,81
bü,78,76,77,79
bő,68,66,66,69
bű,79,77,78,81
ca,69,77,77,78
cb,76,77,79,81
cc,39,47,48,48
cd,35,43,42,43
ce,39,47,48,48
cf,73,76,73,76
cg,66,71,72,72
ch,33,41,39,41
ci,72,74,70,73
cj,76,82,80,82
ck,71,79,76,78
cl,34,42,40,42
cm,71,73,69,71
cn,71,73,69,71
co,35,43,42,43
cp,74,81,79,81
cq,36,44,43,44
cr,71,73,69,72
cs,35,39,40,40
ct,37,42,42,42
cu,39,44,44,43
cv,64,64,65,67
cw,63,63,64,66
cx,62,67,66,68
cy,37,36,37,40
cz,72,71,73,73
cá,69,77,77,78
cé,39,47,48,48
cí,72,74,70,73
có,36,44,43,44
cö,36,44,43,44
cú,39,44,44,43
cü,39,44,44,43
cő,36,44,43,44
cű,39,44,44,43
da,73,72,81,79
db,47,45,52,50
dc,70,70,75,74
dd,44,42,52,49
de,73,73,80,77
df,54,54,59,57
dg,75,74,82,80
dh,47,52,56,54
di,50,47,57,54
dj,46,54,53,56
dk,48,52,56,55
dl,47,52,56,54
dm,78,75,81,78
dn,78,75,81,78
do,73,73,80,77
dp,41,43,48,45
dq,72,73,80,77
dr,78,75,81,78
ds,32,33,41,37
dt,49,50,56,54
du,47,45,53,49
dv,71,66,67,71
dw,69,66,63,66
dx,66,64,63,66
dy,75,75,72,79
dz,69,65,75,72
dá,75,76,84,81
dé,44,41,53,49
dí,47,49,55,53
dó,42,39,48,45
dö,76,75,82,80
dú,50,51,57,53
dü,49,49,56,52
dő,42,39,48,45
dű,50,51,57,53
ea,44,46,46,50
eb,71,69,70,76
ec,64,67,66,69
ed,66,69,68,71
ee,67,69,68,71
ef,78,74,74,80
eg,64,65,67,70
eh,36,38,36,42
ei,78,76,78,82
ej,65,76,75,73
ek,70,72,69,76
el,36,38,36,42
em,77,76,77,82
en,77,76,77,82
eo,67,69,68,71
ep,77,81,80,84
eq,66,69,68,71
er,77,76,77,83
es,65,67,65,72
et,73,77,73,80
eu,73,73,73,77
ev,62,61,68,64
ew,58,59,65,62
ex,61,61,62,60
ey,64,68,71,69
ez,77,74,75,78
eá,44,46,46,50
eé,67,69,68,71
eí,78,76,78,82
eó,67,69,68,71
eö,67,69,68,71
eú,73,73,73,77
eü,73,73,73,77
eő,67,69,68,71
eű,73,73,73,77
fa,40,42,47,45
fb,47,53,54,54
fc,49,50,53,52
fd,53,57,59,57
fe,50,51,54,53
ff,38,44,40,48
fg,47,46,53,49
fh,47,53,53,52
fi,34,36,37,38
fj,35,37,37,44
fk,47,53,53,52
fl,47,53,53,52
fm,36,37,35,35
fn,36,37,35,35
fo,49,50,53,52
fp,42,47,44,46
fq,49,50,54,53
fr,37,38,36,36
fs,42,44,52,47
ft,51,53,54,55
fu,49,51,51,52
fv,48,49,50,51
fw,48,49,50,51
fx,35,34,35,36
fy,49,50,51,52
fz,71,68,72,72
fá,51,53,55,55
fé,54,56,59,58
fí,43,42,43,46
fó,53,55,58,57
fö,48,48,55,54
fú,52,57,55,56
fü,46,51,53,54
fő,52,54,58,58
fű,52,56,54,55
ga,75,78,77,82
gb,73,70,71,75
gc,66,67,65,71
gd,69,68,66,72
ge,69,68,66,72
gf,69,63,63,65
gg,63,71,69,67
gh,66,68,63,69
gi,67,61,62,65
gj,43,49,46,50
gk,66,68,63,69
gl,66,68,63,69
gm,67,61,62,64
gn,67,61,62,64
go,69,68,66,72
gp,65,69,65,70
gq,82,84,83,87
gr,67,61,62,64
gs,38,37,44,42
gt,43,46,50,49
gu,46,46,52,49
gv,42,37,43,41
gw,39,38,41,39
gx,66,65,65,66
gy,46,49,51,50
gz,37,35,40,38
gá,75,78,77,82
gé,69,68,66,72
gí,68,62,63,66
gó,69,68,66,72
gö,69,68,66,72
gú,46,46,52,49
gü,46,46,52,49
gő,69,68,66,72
gű,46,46,52,49
ha,77,72,79,83
hb,53,48,55,58
hc,36,31,36,41
hd,83,76,85,90
he,37,31,38,41
hf,55,54,59,60
hg,76,70,77,81
hh,52,56,59,61
hi,53,51,59,60
hj,52,52,56,58
hk,52,56,59,61
hl,52,56,59,61
hm,48,44,49,50
hn,48,44,49,50
ho,35,31,38,41
hp,49,47,51,53
hq,35,31,38,41
hr,48,44,49,50
hs,34,30,37,39
ht,53,53,56,59
hu,50,47,52,54
hv,72,74,74,78
hw,67,73,71,74
hx,45,44,46,48
